HOG	OG	Gene Tree Parent Clade	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
N2.HOG0000000	OG0000000	n1	tr|A0A1X7SNU3|A0A1X7SNU3_AMPQE			jg16110.t1, jg15544.t1, jg9013.t1, jg14319.t1, jg14833.t1, jg21516.t1, jg6637.t1, jg23877.t1, jg15406.t1
N2.HOG0000001	OG0000000	n45	tr|A0A1X7SGG1|A0A1X7SGG1_AMPQE, tr|A0A1X7T934|A0A1X7T934_AMPQE			
N2.HOG0000002	OG0000000	n47	tr|A0A1X7UCS2|A0A1X7UCS2_AMPQE, tr|A0A1X7UW77|A0A1X7UW77_AMPQE, tr|A0A1X7UJU5|A0A1X7UJU5_AMPQE, tr|A0A1X7V9D7|A0A1X7V9D7_AMPQE, tr|A0A1X7TYU4|A0A1X7TYU4_AMPQE, tr|A0A1X7V993|A0A1X7V993_AMPQE, tr|A0A1X7SKX0|A0A1X7SKX0_AMPQE			
N2.HOG0000003	OG0000000	n54	tr|A0A1X7TTW1|A0A1X7TTW1_AMPQE, tr|A0A1X7TEK8|A0A1X7TEK8_AMPQE			
N2.HOG0000004	OG0000000	n56	tr|A0A1X7VI21|A0A1X7VI21_AMPQE, tr|A0A1X7UES7|A0A1X7UES7_AMPQE, tr|A0A1X7VTV6|A0A1X7VTV6_AMPQE, tr|A0A1X7SDS2|A0A1X7SDS2_AMPQE, tr|A0A1X7V176|A0A1X7V176_AMPQE			
N2.HOG0000005	OG0000000	n61	tr|A0A1X7SUK9|A0A1X7SUK9_AMPQE, tr|A0A1X7U1K7|A0A1X7U1K7_AMPQE, tr|A0A1X7UD01|A0A1X7UD01_AMPQE, tr|A0A1X7VJK7|A0A1X7VJK7_AMPQE, tr|A0A1X7UJW6|A0A1X7UJW6_AMPQE, tr|A0A1X7U986|A0A1X7U986_AMPQE, tr|A0A1X7UXH7|A0A1X7UXH7_AMPQE, tr|A0A1X7UZ11|A0A1X7UZ11_AMPQE, tr|A0A1X7TWV1|A0A1X7TWV1_AMPQE, tr|A0A1X7V4Y6|A0A1X7V4Y6_AMPQE, tr|A0A1X7V7F3|A0A1X7V7F3_AMPQE, tr|A0A1X7V9T3|A0A1X7V9T3_AMPQE, tr|A0A1X7V9T0|A0A1X7V9T0_AMPQE, tr|A0A1X7TVH8|A0A1X7TVH8_AMPQE, tr|A0A1X7TL08|A0A1X7TL08_AMPQE, tr|A0A1X7U4V2|A0A1X7U4V2_AMPQE, tr|A0A1X7V8P8|A0A1X7V8P8_AMPQE, tr|A0A1X7VDI6|A0A1X7VDI6_AMPQE, tr|A0A1X7U6V7|A0A1X7U6V7_AMPQE, tr|A0A1X7U1V1|A0A1X7U1V1_AMPQE, tr|A0A1X7UAZ7|A0A1X7UAZ7_AMPQE, tr|A0A1X7TRK7|A0A1X7TRK7_AMPQE, tr|A0A1X7SZ71|A0A1X7SZ71_AMPQE, tr|A0A1X7V1J8|A0A1X7V1J8_AMPQE, tr|A0A1X7VJU5|A0A1X7VJU5_AMPQE, tr|A0A1X7VL72|A0A1X7VL72_AMPQE, tr|A0A1X7V5X9|A0A1X7V5X9_AMPQE, tr|A0A1X7TB91|A0A1X7TB91_AMPQE, tr|A0A1X7TW44|A0A1X7TW44_AMPQE, tr|A0A1X7VI11|A0A1X7VI11_AMPQE, tr|A0A1X7VCB8|A0A1X7VCB8_AMPQE, tr|A0A1X7SIS2|A0A1X7SIS2_AMPQE, tr|A0A1X7VSF4|A0A1X7VSF4_AMPQE, tr|A0A1X7URI5|A0A1X7URI5_AMPQE, tr|A0A1X7UNS0|A0A1X7UNS0_AMPQE, tr|A0A1X7VGE7|A0A1X7VGE7_AMPQE, tr|A0A1X7V9L3|A0A1X7V9L3_AMPQE, tr|A0A1X7VHD7|A0A1X7VHD7_AMPQE, tr|A0A1X7TQ32|A0A1X7TQ32_AMPQE, tr|A0A1X7VTR6|A0A1X7VTR6_AMPQE, tr|A0A1X7TNN9|A0A1X7TNN9_AMPQE			
N2.HOG0000006	OG0000000	n105	tr|A0A1X7V6I3|A0A1X7V6I3_AMPQE, tr|A0A1X7U3I8|A0A1X7U3I8_AMPQE, tr|A0A1X7VBY3|A0A1X7VBY3_AMPQE, tr|A0A1X7STE2|A0A1X7STE2_AMPQE, tr|A0A1X7U9E4|A0A1X7U9E4_AMPQE, tr|A0A1X7V7A1|A0A1X7V7A1_AMPQE, tr|A0A1X7SXT4|A0A1X7SXT4_AMPQE, tr|A0A1X7UZ18|A0A1X7UZ18_AMPQE, tr|A0A1X7TU14|A0A1X7TU14_AMPQE, tr|A0A1X7T5T6|A0A1X7T5T6_AMPQE, tr|A0A1X7TAZ9|A0A1X7TAZ9_AMPQE, tr|A0A1X7VSW1|A0A1X7VSW1_AMPQE, tr|A0A1X7SN14|A0A1X7SN14_AMPQE, tr|A0A1X7UMZ1|A0A1X7UMZ1_AMPQE, tr|A0A1X7V559|A0A1X7V559_AMPQE, tr|A0A1X7UGW5|A0A1X7UGW5_AMPQE, tr|A0A1X7UVH2|A0A1X7UVH2_AMPQE, tr|A0A1X7T3X7|A0A1X7T3X7_AMPQE, tr|A0A1X7UTW3|A0A1X7UTW3_AMPQE, tr|A0A1X7SIG7|A0A1X7SIG7_AMPQE, tr|A0A1X7VGT4|A0A1X7VGT4_AMPQE, tr|A0A1X7UJX5|A0A1X7UJX5_AMPQE, tr|A0A1X7UJ33|A0A1X7UJ33_AMPQE, tr|A0A1X7VGZ8|A0A1X7VGZ8_AMPQE, tr|A0A1X7TJ50|A0A1X7TJ50_AMPQE, tr|A0A1X7TXP5|A0A1X7TXP5_AMPQE, tr|A0A1X7VX21|A0A1X7VX21_AMPQE, tr|A0A1X7UC31|A0A1X7UC31_AMPQE, tr|A0A1X7ULP4|A0A1X7ULP4_AMPQE, tr|A0A1X7V6W7|A0A1X7V6W7_AMPQE, tr|A0A1X7TXS6|A0A1X7TXS6_AMPQE, tr|A0A1X7VIG3|A0A1X7VIG3_AMPQE, tr|A0A1X7VBL3|A0A1X7VBL3_AMPQE, tr|A0A1X7V0G4|A0A1X7V0G4_AMPQE, tr|A0A1X7V7X5|A0A1X7V7X5_AMPQE, tr|A0A1X7VQU2|A0A1X7VQU2_AMPQE, tr|A0A1X7VTR4|A0A1X7VTR4_AMPQE, tr|A0A1X7T2L0|A0A1X7T2L0_AMPQE, tr|A0A1X7UQQ5|A0A1X7UQQ5_AMPQE, tr|A0A1X7SZC5|A0A1X7SZC5_AMPQE, tr|A0A1X7UAQ9|A0A1X7UAQ9_AMPQE, tr|A0A1X7TC67|A0A1X7TC67_AMPQE, tr|A0A1X7TX03|A0A1X7TX03_AMPQE, tr|A0A1X7U5C9|A0A1X7U5C9_AMPQE, tr|A0A1X7TAN3|A0A1X7TAN3_AMPQE, tr|A0A1X7U1G8|A0A1X7U1G8_AMPQE, tr|A0A1X7VHX9|A0A1X7VHX9_AMPQE, tr|A0A1X7V3Y5|A0A1X7V3Y5_AMPQE, tr|A0A1X7U487|A0A1X7U487_AMPQE, tr|A0A1X7UDJ0|A0A1X7UDJ0_AMPQE, tr|A0A1X7VGR9|A0A1X7VGR9_AMPQE, tr|A0A1X7UZX2|A0A1X7UZX2_AMPQE, tr|A0A1X7VX03|A0A1X7VX03_AMPQE, tr|A0A1X7V204|A0A1X7V204_AMPQE, tr|A0A1X7UP51|A0A1X7UP51_AMPQE, tr|A0A1X7V6E0|A0A1X7V6E0_AMPQE, tr|A0A1X7VYE2|A0A1X7VYE2_AMPQE, tr|A0A1X7T7W0|A0A1X7T7W0_AMPQE, tr|A0A1X7V858|A0A1X7V858_AMPQE, tr|A0A1X7VW26|A0A1X7VW26_AMPQE, tr|A0A1X7VIH7|A0A1X7VIH7_AMPQE, tr|A0A1X7VSY3|A0A1X7VSY3_AMPQE, tr|A0A1X7VHI7|A0A1X7VHI7_AMPQE, tr|A0A1X7UQ61|A0A1X7UQ61_AMPQE, tr|A0A1X7VT02|A0A1X7VT02_AMPQE, tr|A0A1X7U602|A0A1X7U602_AMPQE, tr|A0A1X7VQL4|A0A1X7VQL4_AMPQE, tr|A0A1X7UCR7|A0A1X7UCR7_AMPQE, tr|A0A1X7VEU8|A0A1X7VEU8_AMPQE, tr|A0A1X7VD85|A0A1X7VD85_AMPQE, tr|A0A1X7UBE5|A0A1X7UBE5_AMPQE, tr|A0A1X7TT86|A0A1X7TT86_AMPQE, tr|A0A1X7U680|A0A1X7U680_AMPQE, tr|A0A1X7V2D7|A0A1X7V2D7_AMPQE, tr|A0A1X7TQ40|A0A1X7TQ40_AMPQE, tr|A0A1X7VD81|A0A1X7VD81_AMPQE, tr|A0A1X7TQV8|A0A1X7TQV8_AMPQE, tr|A0A1X7UPZ4|A0A1X7UPZ4_AMPQE, tr|A0A1X7U094|A0A1X7U094_AMPQE, tr|A0A1X7VBJ9|A0A1X7VBJ9_AMPQE, tr|A0A1X7U6F1|A0A1X7U6F1_AMPQE, tr|A0A1X7VHX8|A0A1X7VHX8_AMPQE, tr|A0A1X7UTY2|A0A1X7UTY2_AMPQE, tr|A0A1X7T2F5|A0A1X7T2F5_AMPQE, tr|A0A1X7V357|A0A1X7V357_AMPQE, tr|A0A1X7TKG9|A0A1X7TKG9_AMPQE, tr|A0A1X7T6S6|A0A1X7T6S6_AMPQE, tr|A0A1X7STB6|A0A1X7STB6_AMPQE, tr|A0A1X7VSM9|A0A1X7VSM9_AMPQE, tr|A0A1X7UQ79|A0A1X7UQ79_AMPQE, tr|A0A1X7TNW9|A0A1X7TNW9_AMPQE, tr|A0A1X7SEB9|A0A1X7SEB9_AMPQE, tr|A0A1X7UBA2|A0A1X7UBA2_AMPQE, tr|A0A1X7SQ22|A0A1X7SQ22_AMPQE, tr|A0A1X7U2M4|A0A1X7U2M4_AMPQE, tr|A0A1X7UYG3|A0A1X7UYG3_AMPQE, tr|A0A1X7TS62|A0A1X7TS62_AMPQE, tr|A0A1X7UZL1|A0A1X7UZL1_AMPQE, tr|A0A1X7VG85|A0A1X7VG85_AMPQE, tr|A0A1X7UE83|A0A1X7UE83_AMPQE, tr|A0A1X7VER5|A0A1X7VER5_AMPQE, tr|A0A1X7U2R4|A0A1X7U2R4_AMPQE, tr|A0A1X7TXE2|A0A1X7TXE2_AMPQE, tr|A0A1X7TRL3|A0A1X7TRL3_AMPQE, tr|A0A1X7TA10|A0A1X7TA10_AMPQE, tr|A0A1X7UL46|A0A1X7UL46_AMPQE, tr|A0A1X7UXR4|A0A1X7UXR4_AMPQE, tr|A0A1X7UBZ4|A0A1X7UBZ4_AMPQE, tr|A0A1X7V667|A0A1X7V667_AMPQE, tr|A0A1X7VAV6|A0A1X7VAV6_AMPQE, tr|A0A1X7UQG8|A0A1X7UQG8_AMPQE, tr|A0A1X7VRH5|A0A1X7VRH5_AMPQE, tr|A0A1X7VY80|A0A1X7VY80_AMPQE, tr|A0A1X7T6D8|A0A1X7T6D8_AMPQE, tr|A0A1X7TS81|A0A1X7TS81_AMPQE, tr|A0A1X7SDK3|A0A1X7SDK3_AMPQE, tr|A0A1X7V568|A0A1X7V568_AMPQE, tr|A0A1X7SLU3|A0A1X7SLU3_AMPQE, tr|A0A1X7TQ84|A0A1X7TQ84_AMPQE, tr|A0A1X7UWW8|A0A1X7UWW8_AMPQE, tr|A0A1X7VG70|A0A1X7VG70_AMPQE, tr|A0A1X7SH45|A0A1X7SH45_AMPQE, tr|A0A1X7VGW3|A0A1X7VGW3_AMPQE, tr|A0A1X7TF27|A0A1X7TF27_AMPQE, tr|A0A1X7U1H2|A0A1X7U1H2_AMPQE, tr|A0A1X7V1W7|A0A1X7V1W7_AMPQE, tr|A0A1X7T5H8|A0A1X7T5H8_AMPQE, tr|A0A1X7U3P7|A0A1X7U3P7_AMPQE, tr|A0A1X7UQQ0|A0A1X7UQQ0_AMPQE, tr|A0A1X7TZE6|A0A1X7TZE6_AMPQE, tr|A0A1X7UP31|A0A1X7UP31_AMPQE, tr|A0A1X7UU00|A0A1X7UU00_AMPQE, tr|A0A1X7VX92|A0A1X7VX92_AMPQE, tr|A0A1X7SR58|A0A1X7SR58_AMPQE, tr|A0A1X7UDB6|A0A1X7UDB6_AMPQE, tr|A0A1X7TJB6|A0A1X7TJB6_AMPQE, tr|A0A1X7SDV6|A0A1X7SDV6_AMPQE, tr|A0A1X7U7S2|A0A1X7U7S2_AMPQE, tr|A0A1X7UQ42|A0A1X7UQ42_AMPQE, tr|A0A1X7VID4|A0A1X7VID4_AMPQE, tr|A0A1X7VIG6|A0A1X7VIG6_AMPQE, tr|A0A1X7UN01|A0A1X7UN01_AMPQE, tr|A0A1X7TFB4|A0A1X7TFB4_AMPQE, tr|A0A1X7V8M8|A0A1X7V8M8_AMPQE, tr|A0A1X7VK01|A0A1X7VK01_AMPQE, tr|A0A1X7VA25|A0A1X7VA25_AMPQE, tr|A0A1X7V4V0|A0A1X7V4V0_AMPQE, tr|A0A1X7SU95|A0A1X7SU95_AMPQE, tr|A0A1X7VBM9|A0A1X7VBM9_AMPQE, tr|A0A1X7V246|A0A1X7V246_AMPQE, tr|A0A1X7UAU4|A0A1X7UAU4_AMPQE, tr|A0A1X7UW45|A0A1X7UW45_AMPQE, tr|A0A1X7V5S7|A0A1X7V5S7_AMPQE, tr|A0A1X7VTN5|A0A1X7VTN5_AMPQE, tr|A0A1X7V1V1|A0A1X7V1V1_AMPQE, tr|A0A1X7VTL1|A0A1X7VTL1_AMPQE, tr|A0A1X7V6H3|A0A1X7V6H3_AMPQE, tr|A0A1X7V9I1|A0A1X7V9I1_AMPQE, tr|A0A1X7UBI0|A0A1X7UBI0_AMPQE, tr|A0A1X7UE99|A0A1X7UE99_AMPQE, tr|A0A1X7VBD1|A0A1X7VBD1_AMPQE, tr|A0A1X7UVP1|A0A1X7UVP1_AMPQE, tr|A0A1X7U6U2|A0A1X7U6U2_AMPQE, tr|A0A1X7UTG2|A0A1X7UTG2_AMPQE, tr|A0A1X7UZN8|A0A1X7UZN8_AMPQE, tr|A0A1X7UW92|A0A1X7UW92_AMPQE, tr|A0A1X7UXU5|A0A1X7UXU5_AMPQE, tr|A0A1X7V7T8|A0A1X7V7T8_AMPQE, tr|A0A1X7UZ23|A0A1X7UZ23_AMPQE, tr|A0A1X7T5Q7|A0A1X7T5Q7_AMPQE, tr|A0A1X7UJK9|A0A1X7UJK9_AMPQE, tr|A0A1X7UBM0|A0A1X7UBM0_AMPQE, tr|A0A1X7UQ45|A0A1X7UQ45_AMPQE, tr|A0A1X7V350|A0A1X7V350_AMPQE, tr|A0A1X7UKE7|A0A1X7UKE7_AMPQE, tr|A0A1X7TR70|A0A1X7TR70_AMPQE, tr|A0A1X7UDC6|A0A1X7UDC6_AMPQE, tr|A0A1X7TXR1|A0A1X7TXR1_AMPQE, tr|A0A1X7VCZ5|A0A1X7VCZ5_AMPQE, tr|A0A1X7U878|A0A1X7U878_AMPQE, tr|A0A1X7VIJ4|A0A1X7VIJ4_AMPQE, tr|A0A1X7V097|A0A1X7V097_AMPQE, tr|A0A1X7TBG6|A0A1X7TBG6_AMPQE, tr|A0A1X7TT15|A0A1X7TT15_AMPQE, tr|A0A1X7V3D0|A0A1X7V3D0_AMPQE, tr|A0A1X7VRA6|A0A1X7VRA6_AMPQE, tr|A0A1X7TV45|A0A1X7TV45_AMPQE, tr|A0A1X7UCQ4|A0A1X7UCQ4_AMPQE, tr|A0A1X7VDI1|A0A1X7VDI1_AMPQE, tr|A0A1X7UB12|A0A1X7UB12_AMPQE, tr|A0A1X7VIS4|A0A1X7VIS4_AMPQE, tr|A0A1X7TMU6|A0A1X7TMU6_AMPQE, tr|A0A1X7UIF4|A0A1X7UIF4_AMPQE, tr|A0A1X7VU62|A0A1X7VU62_AMPQE, tr|A0A1X7VV16|A0A1X7VV16_AMPQE, tr|A0A1X7UQ83|A0A1X7UQ83_AMPQE, tr|A0A1X7UVN1|A0A1X7UVN1_AMPQE, tr|A0A1X7V373|A0A1X7V373_AMPQE, tr|A0A1X7UDK0|A0A1X7UDK0_AMPQE, tr|A0A1X7U1U8|A0A1X7U1U8_AMPQE, tr|A0A1X7TK61|A0A1X7TK61_AMPQE, tr|A0A1X7TFR6|A0A1X7TFR6_AMPQE, tr|A0A1X7V6G6|A0A1X7V6G6_AMPQE, tr|A0A1X7VYA6|A0A1X7VYA6_AMPQE, tr|A0A1X7US17|A0A1X7US17_AMPQE, tr|A0A1X7VXA9|A0A1X7VXA9_AMPQE, tr|A0A1X7VUR1|A0A1X7VUR1_AMPQE			
N2.HOG0000007	OG0000000	n312	tr|A0A1X7VTR1|A0A1X7VTR1_AMPQE, tr|A0A1X7TSW6|A0A1X7TSW6_AMPQE, tr|A0A1X7UTI0|A0A1X7UTI0_AMPQE, tr|A0A1X7V2S9|A0A1X7V2S9_AMPQE, tr|A0A1X7UXK8|A0A1X7UXK8_AMPQE			
N2.HOG0000008	OG0000000	n317	tr|A0A1X7TTN3|A0A1X7TTN3_AMPQE, tr|A0A1X7SW78|A0A1X7SW78_AMPQE, tr|A0A1X7T979|A0A1X7T979_AMPQE, tr|A0A1X7UKA3|A0A1X7UKA3_AMPQE			
N2.HOG0000009	OG0000000	n321	tr|A0A1X7UIG3|A0A1X7UIG3_AMPQE, tr|A0A1X7UBA3|A0A1X7UBA3_AMPQE, tr|A0A1X7UP71|A0A1X7UP71_AMPQE, tr|A0A1X7SPZ0|A0A1X7SPZ0_AMPQE, tr|A0A1X7V689|A0A1X7V689_AMPQE, tr|A0A1X7VAR4|A0A1X7VAR4_AMPQE, tr|A0A1X7V798|A0A1X7V798_AMPQE, tr|A0A1X7U6G9|A0A1X7U6G9_AMPQE, tr|A0A1X7TPL3|A0A1X7TPL3_AMPQE, tr|A0A1X7UCE6|A0A1X7UCE6_AMPQE, tr|A0A1X7TKM4|A0A1X7TKM4_AMPQE, tr|A0A1X7V7A6|A0A1X7V7A6_AMPQE, tr|A0A1X7U615|A0A1X7U615_AMPQE, tr|A0A1X7UGG1|A0A1X7UGG1_AMPQE, tr|A0A1X7UWY8|A0A1X7UWY8_AMPQE, tr|A0A1X7U8V9|A0A1X7U8V9_AMPQE, tr|A0A1X7TVE8|A0A1X7TVE8_AMPQE, tr|A0A1X7UTG9|A0A1X7UTG9_AMPQE, tr|A0A1X7V2I6|A0A1X7V2I6_AMPQE, tr|A0A1X7TZT3|A0A1X7TZT3_AMPQE, tr|A0A1X7TY86|A0A1X7TY86_AMPQE, tr|A0A1X7V602|A0A1X7V602_AMPQE, tr|A0A1X7TNB7|A0A1X7TNB7_AMPQE, tr|A0A1X7U4I0|A0A1X7U4I0_AMPQE, tr|A0A1X7T9G7|A0A1X7T9G7_AMPQE, tr|A0A1X7VU73|A0A1X7VU73_AMPQE, tr|A0A1X7UQ58|A0A1X7UQ58_AMPQE, tr|A0A1X7V7D6|A0A1X7V7D6_AMPQE, tr|A0A1X7VWJ6|A0A1X7VWJ6_AMPQE, tr|A0A1X7U5X8|A0A1X7U5X8_AMPQE, tr|A0A1X7UJR1|A0A1X7UJR1_AMPQE, tr|A0A1X7U5R9|A0A1X7U5R9_AMPQE, tr|A0A1X7UQJ1|A0A1X7UQJ1_AMPQE, tr|A0A1X7VSX0|A0A1X7VSX0_AMPQE, tr|A0A1X7VST1|A0A1X7VST1_AMPQE, tr|A0A1X7TST1|A0A1X7TST1_AMPQE, tr|A0A1X7U1I1|A0A1X7U1I1_AMPQE, tr|A0A1X7UA62|A0A1X7UA62_AMPQE, tr|A0A1X7UAS7|A0A1X7UAS7_AMPQE, tr|A0A1X7SF27|A0A1X7SF27_AMPQE, tr|A0A1X7TAL3|A0A1X7TAL3_AMPQE, tr|A0A1X7SU38|A0A1X7SU38_AMPQE, tr|A0A1X7SGI8|A0A1X7SGI8_AMPQE, tr|A0A1X7UUA3|A0A1X7UUA3_AMPQE, tr|A0A1X7VIW4|A0A1X7VIW4_AMPQE, tr|A0A1X7VSE4|A0A1X7VSE4_AMPQE, tr|A0A1X7VF99|A0A1X7VF99_AMPQE, tr|A0A1X7TH89|A0A1X7TH89_AMPQE, tr|A0A1X7V4W2|A0A1X7V4W2_AMPQE, tr|A0A1X7U945|A0A1X7U945_AMPQE, tr|A0A1X7TBA9|A0A1X7TBA9_AMPQE, tr|A0A1X7UZT6|A0A1X7UZT6_AMPQE, tr|A0A1X7TWF2|A0A1X7TWF2_AMPQE, tr|A0A1X7U0S7|A0A1X7U0S7_AMPQE, tr|A0A1X7UTR7|A0A1X7UTR7_AMPQE, tr|A0A1X7VJ97|A0A1X7VJ97_AMPQE, tr|A0A1X7SZB0|A0A1X7SZB0_AMPQE, tr|A0A1X7UNC0|A0A1X7UNC0_AMPQE, tr|A0A1X7U912|A0A1X7U912_AMPQE, tr|A0A1X7TGG1|A0A1X7TGG1_AMPQE, tr|A0A1X7SQG3|A0A1X7SQG3_AMPQE, tr|A0A1X7T9T3|A0A1X7T9T3_AMPQE, tr|A0A1X7V591|A0A1X7V591_AMPQE, tr|A0A1X7VIG9|A0A1X7VIG9_AMPQE, tr|A0A1X7U5T0|A0A1X7U5T0_AMPQE, tr|A0A1X7SHE4|A0A1X7SHE4_AMPQE, tr|A0A1X7U5P1|A0A1X7U5P1_AMPQE, tr|A0A1X7SSU7|A0A1X7SSU7_AMPQE, tr|A0A1X7VIK8|A0A1X7VIK8_AMPQE, tr|A0A1X7V8R4|A0A1X7V8R4_AMPQE, tr|A0A1X7U6L8|A0A1X7U6L8_AMPQE, tr|A0A1X7U8E8|A0A1X7U8E8_AMPQE, tr|A0A1X7U2J5|A0A1X7U2J5_AMPQE, tr|A0A1X7TEI4|A0A1X7TEI4_AMPQE, tr|A0A1X7VSA5|A0A1X7VSA5_AMPQE, tr|A0A1X7VGZ7|A0A1X7VGZ7_AMPQE, tr|A0A1X7VG67|A0A1X7VG67_AMPQE, tr|A0A1X7TK77|A0A1X7TK77_AMPQE, tr|A0A1X7SKY4|A0A1X7SKY4_AMPQE, tr|A0A1X7U3E7|A0A1X7U3E7_AMPQE, tr|A0A1X7VC58|A0A1X7VC58_AMPQE, tr|A0A1X7V9E1|A0A1X7V9E1_AMPQE, tr|A0A1X7TQR5|A0A1X7TQR5_AMPQE, tr|A0A1X7VS04|A0A1X7VS04_AMPQE, tr|A0A1X7UTG6|A0A1X7UTG6_AMPQE, tr|A0A1X7VS83|A0A1X7VS83_AMPQE, tr|A0A1X7VWQ9|A0A1X7VWQ9_AMPQE, tr|A0A1X7VF61|A0A1X7VF61_AMPQE, tr|A0A1X7VJK6|A0A1X7VJK6_AMPQE, tr|A0A1X7VK98|A0A1X7VK98_AMPQE, tr|A0A1X7UXB6|A0A1X7UXB6_AMPQE, tr|A0A1X7UAR7|A0A1X7UAR7_AMPQE, tr|A0A1X7UXR9|A0A1X7UXR9_AMPQE, tr|A0A1X7SDM8|A0A1X7SDM8_AMPQE, tr|A0A1X7U2G5|A0A1X7U2G5_AMPQE, tr|A0A1X7SVZ8|A0A1X7SVZ8_AMPQE, tr|A0A1X7VTP9|A0A1X7VTP9_AMPQE, tr|A0A1X7UN98|A0A1X7UN98_AMPQE, tr|A0A1X7VRW4|A0A1X7VRW4_AMPQE, tr|A0A1X7T5I5|A0A1X7T5I5_AMPQE, tr|A0A1X7V153|A0A1X7V153_AMPQE, tr|A0A1X7TRQ9|A0A1X7TRQ9_AMPQE, tr|A0A1X7SYH6|A0A1X7SYH6_AMPQE, tr|A0A1X7TU15|A0A1X7TU15_AMPQE, tr|A0A1X7VFY8|A0A1X7VFY8_AMPQE, tr|A0A1X7UCN9|A0A1X7UCN9_AMPQE, tr|A0A1X7UZW7|A0A1X7UZW7_AMPQE, tr|A0A1X7UWJ9|A0A1X7UWJ9_AMPQE, tr|A0A1X7T345|A0A1X7T345_AMPQE, tr|A0A1X7VBG3|A0A1X7VBG3_AMPQE, tr|A0A1X7V7T0|A0A1X7V7T0_AMPQE, tr|A0A1X7UDY9|A0A1X7UDY9_AMPQE, tr|A0A1X7VL32|A0A1X7VL32_AMPQE, tr|A0A1X7TWR2|A0A1X7TWR2_AMPQE, tr|A0A1X7UEI0|A0A1X7UEI0_AMPQE, tr|A0A1X7UR61|A0A1X7UR61_AMPQE, tr|A0A1X7T669|A0A1X7T669_AMPQE, tr|A0A1X7UM97|A0A1X7UM97_AMPQE, tr|A0A1X7SM34|A0A1X7SM34_AMPQE, tr|A0A1X7SLA7|A0A1X7SLA7_AMPQE, tr|A0A1X7T4A1|A0A1X7T4A1_AMPQE, tr|A0A1X7TU57|A0A1X7TU57_AMPQE, tr|A0A1X7VR19|A0A1X7VR19_AMPQE, tr|A0A1X7UKC2|A0A1X7UKC2_AMPQE, tr|A0A1X7UYM4|A0A1X7UYM4_AMPQE, tr|A0A1X7T8M5|A0A1X7T8M5_AMPQE, tr|A0A1X7V6J9|A0A1X7V6J9_AMPQE, tr|A0A1X7U263|A0A1X7U263_AMPQE, tr|A0A1X7U5C5|A0A1X7U5C5_AMPQE, tr|A0A1X7T1M0|A0A1X7T1M0_AMPQE, tr|A0A1X7V7F1|A0A1X7V7F1_AMPQE, tr|A0A1X7V005|A0A1X7V005_AMPQE, tr|A0A1X7TG12|A0A1X7TG12_AMPQE, tr|A0A1X7U505|A0A1X7U505_AMPQE, tr|A0A1X7UB22|A0A1X7UB22_AMPQE, tr|A0A1X7SXY2|A0A1X7SXY2_AMPQE, tr|A0A1X7UKY1|A0A1X7UKY1_AMPQE, tr|A0A1X7T7Y2|A0A1X7T7Y2_AMPQE			jg27578.t1, jg26221.t1, jg9923.t1, jg27893.t1, jg27794.t1, jg5141.t1, jg11748.t1, jg10162.t1, jg22883.t1, jg5752.t1, jg2825.t1, jg13041.t1, jg22910.t1, jg7354.t1, jg12547.t1, jg6266.t1, jg7411.t1, jg9221.t1, jg19855.t1, jg184.t1, jg200.t1, jg23935.t1, jg12105.t1, jg7345.t1, jg13032.t1, jg17706.t1, jg25639.t1, jg13527.t1, jg3888.t1, jg9295.t1, jg16361.t1, jg7411.t2, jg22885.t1, jg21886.t1, jg3032.t1, jg14286.t1, jg9567.t1, jg15413.t1, jg16572.t1, jg5534.t1, jg5486.t1, jg22886.t1, jg16396.t1, jg18779.t1, jg30040.t1
